Genus	ES_Bact	ES_Bifi	ES_Esch	ES_Prev	ES_Firm
Bacteria;Firmicutes;Bacilli;RF39;CAG-822;UBA5026	0	0	0	0.004744962502458669	0.0032282795994023577
Bacteria;Firmicutes;Bacilli;RF39;CAG-822;UBA3631	2.791166144636565e-4	0	0	0.02535488764619817	0.005220091790229332
Bacteria;Firmicutes;Bacilli;RF39;CAG-822;UMGS1045	0	0	0	0.0038748120224515728	4.982818533032892e-4
Bacteria;Firmicutes;Bacilli;RF39;CAG-822;CAG-822	0	0	0	0	3.9431334023864973e-4
Bacteria;Firmicutes;Bacilli;RF39;CAG-822;CAG-878	0	0	0	0.019838548101691788	0
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;UBA3789	0	0	0	0.0016158733018440334	0.0027246974469856654
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;UMGS995	0	0	0	1.3079513424970737e-5	0.006320571888505948
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;CAG-417	1.1406059190542451e-12	0	0	0.02297664448596471	0.03225477953893976
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;CAG-451	8.650143170432657e-14	0	0	0.00947492783770681	0.009858935970260878
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;UBA7057	4.6312720410307833e-10	0	0	0.006036186344062368	0.0017075463702648213
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;CAG-710	0	0	0	0.0395216006937289	3.150171400714074e-5
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;CAG-988	0	0	3.96210964256535e-12	4.1603354236335286e-4	0.0027699728828374758
Bacteria;Firmicutes;Bacilli;RF39;CAG-611;UMGS1449	0	0	0	8.32030035056986e-5	0
Bacteria;Firmicutes;Bacilli;RF39;CAG-1000;CAG-460	0	0	0	0.2845977314585717	6.550903555866609e-4
Bacteria;Firmicutes;Bacilli;RF39;CAG-1000;UMGS1217	0	0	0	1.7962701686786086e-4	1.477833118032182e-8
Bacteria;Firmicutes;Bacilli;RF39;CAG-1000;CAG-605	0	0	0	0.021368798656699967	0.008321444261034842
Bacteria;Firmicutes;Bacilli;RF39;CAG-1000;CAG-533	0	0	0	0.0602972051409195	0.004545198239189588
Bacteria;Firmicutes;Bacilli;RF39;CAG-1000;CAG-1000	0	0	0	0.1136749080783574	0
Bacteria;Firmicutes;Bacilli;RF39;CAG-1000;CAG-628	0	0	0	0.13892121712593805	0.003548289868140444
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-313;CAG-313	9.573035389409521e-14	0	0	0.2519727811282254	0.08287877225165324
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-698;Tener-01	0	0	0	8.924552393332382e-4	9.869466107825299e-8
Bacteria;Firmicutes;Bacilli;ML615J-28;CAG-698;CAG-698	0	0	0	0.006706421751974606	0
Bacteria;Firmicutes;Bacilli;Haloplasmatales;Turicibacteraceae;Turicibacter	3.851162537269416e-4	8.37224844665664e-6	0	0	4.887502311465361e-4
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0	0.08922411427677916	1.7693558764153219	0	0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella	3.4798302675597167e-15	0.001887025099381719	0	0	4.1656184414321164e-13
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus	0	0	2.0328244655547329e-4	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Caldibacillaceae;Bacillus_J	0	9.290710697867961e-5	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae_J;Bacillus_B	0	0.010434579774066232	0	0	0
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus_A	0	0.008139741293118945	0.001163009164728581	0	0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	0.001397349812530537	3.252146722291364e-4	3.464209286442436e-5	0.15225944697390895	0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium_A	0	0	7.427085308188759e-4	0	0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	0	3.006189216247207e-4	0	0	0
